Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           true                                    10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              true                                    10                                 

15             coap://[2a07:2e40:fffe:e1::9387]:5683/sensors/magne              true                                    10                                 

16             coap://[2a07:2e40:fffe:e1::b384]:5683/test/hello?len=80          false                                   10                                 

*********** true = 160 *********** Relatório Gerado em : 04/03/2025 03:42:36.432 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e1::9588]:5683/sensors/light              true                                    10                                 

1              coap://[2a07:2e40:fffe:e1::8984]:5683/sensors/pressure           true                                    10                                 

2              coap://[2a07:2e40:fffe:e1::a385]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e1::a185]:5683/sensors/accel              true                                    10                                 

4              coap://[2a07:2e40:fffe:e1::9385]:5683/sensors/magne              true                                    10                                 

5              coap://[2a07:2e40:fffe:e1::a586]:5683/test/hello?len=80          true                                    10                                 

6              coap://[2a07:2e40:fffe:e1::b585]:5683/sensors/light              true                                    10                                 

7              coap://[2a07:2e40:fffe:e1::9083]:5683/sensors/pressure           true                                    10                                 

8              coap://[2a07:2e40:fffe:e1::a984]:5683/sensors/accel              true                                    10                                 

9              coap://[2a07:2e40:fffe:e1::a587]:5683/sensors/magne              true                                    10                                 

10             coap://[2a07:2e40:fffe:e1::b685]:5683/test/hello?len=80          true                                    10                                 

11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           true                                    10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              true                                    10                                 

15             coap://[2a07:2e40:fffe:e1::9387]:5683/sensors/magne              true                                    10                                 

16             coap://[2a07:2e40:fffe:e1::b384]:5683/test/hello?len=80          true                                    10                                 

*********** true = 170 *********** Relatório Gerado em : 04/03/2025 04:12:36.431 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e1::9588]:5683/sensors/light              true                                    10                                 

1              coap://[2a07:2e40:fffe:e1::8984]:5683/sensors/pressure           true                                    10                                 

2              coap://[2a07:2e40:fffe:e1::a385]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e1::a185]:5683/sensors/accel              true                                    10                                 

4              coap://[2a07:2e40:fffe:e1::9385]:5683/sensors/magne              true                                    10                                 

5              coap://[2a07:2e40:fffe:e1::a586]:5683/test/hello?len=80          true                                    10                                 

6              coap://[2a07:2e40:fffe:e1::b585]:5683/sensors/light              false                                   10                                 

7              coap://[2a07:2e40:fffe:e1::9083]:5683/sensors/pressure           true                                    10                                 

8              coap://[2a07:2e40:fffe:e1::a984]:5683/sensors/accel              false                                   10                                 

9              coap://[2a07:2e40:fffe:e1::a587]:5683/sensors/magne              true                                    10                                 

10             coap://[2a07:2e40:fffe:e1::b685]:5683/test/hello?len=80          true                                    10                                 

11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           true                                    10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              true                                    10                                 

15             coap://[2a07:2e40:fffe:e1::9387]:5683/sensors/magne              true                                    10                                 

16             coap://[2a07:2e40:fffe:e1::b384]:5683/test/hello?len=80          true                                    10                                 

*********** true = 150 *********** Relatório Gerado em : 04/03/2025 04:42:36.431 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e1::9588]:5683/sensors/light              true                                    10                                 

1              coap://[2a07:2e40:fffe:e1::8984]:5683/sensors/pressure           true                                    10                                 

2              coap://[2a07:2e40:fffe:e1::a385]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e1::a185]:5683/sensors/accel              true                                    10                                 

4              coap://[2a07:2e40:fffe:e1::9385]:5683/sensors/magne              true                                    10                                 

5              coap://[2a07:2e40:fffe:e1::a586]:5683/test/hello?len=80          true                                    10                                 

6              coap://[2a07:2e40:fffe:e1::b585]:5683/sensors/light              true                                    10                                 

7              coap://[2a07:2e40:fffe:e1::9083]:5683/sensors/pressure           true                                    10                                 

8              coap://[2a07:2e40:fffe:e1::a984]:5683/sensors/accel              false                                   10                                 

9              coap://[2a07:2e40:fffe:e1::a587]:5683/sensors/magne              true                                    10                                 

10             coap://[2a07:2e40:fffe:e1::b685]:5683/test/hello?len=80          true                                    10                                 

11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           true                                    10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              true                                    10                                 

15             coap://[2a07:2e40:fffe:e1::9387]:5683/sensors/magne              true                                    10                                 

16             coap://[2a07:2e40:fffe:e1::b384]:5683/test/hello?len=80          true                                    10                                 

*********** true = 160 *********** Relatório Gerado em : 04/03/2025 05:12:36.431 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e1::9588]:5683/sensors/light              true                                    10                                 

1              coap://[2a07:2e40:fffe:e1::8984]:5683/sensors/pressure           true                                    10                                 

2              coap://[2a07:2e40:fffe:e1::a385]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e1::a185]:5683/sensors/accel              true                                    10                                 

4              coap://[2a07:2e40:fffe:e1::9385]:5683/sensors/magne              true                                    10                                 

5              coap://[2a07:2e40:fffe:e1::a586]:5683/test/hello?len=80          true                                    10                                 

6              coap://[2a07:2e40:fffe:e1::b585]:5683/sensors/light              true                                    10                                 

7              coap://[2a07:2e40:fffe:e1::9083]:5683/sensors/pressure           true                                    10                                 

8              coap://[2a07:2e40:fffe:e1::a984]:5683/sensors/accel              false                                   10                                 

9              coap://[2a07:2e40:fffe:e1::a587]:5683/sensors/magne              true                                    10                                 

10             coap://[2a07:2e40:fffe:e1::b685]:5683/test/hello?len=80          true                                    10                                 

11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           true                                    10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              true                                    10                                 

15             coap://[2a07:2e40:fffe:e1::9387]:5683/sensors/magne              true                                    10                                 

16             coap://[2a07:2e40:fffe:e1::b384]:5683/test/hello?len=80          true                                    10                                 

*********** true = 160 *********** Relatório Gerado em : 04/03/2025 05:42:36.432 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e1::9588]:5683/sensors/light              true                                    10                                 

1              coap://[2a07:2e40:fffe:e1::8984]:5683/sensors/pressure           true                                    10                                 

2              coap://[2a07:2e40:fffe:e1::a385]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e1::a185]:5683/sensors/accel              true                                    10                                 

4              coap://[2a07:2e40:fffe:e1::9385]:5683/sensors/magne              true                                    10                                 

5              coap://[2a07:2e40:fffe:e1::a586]:5683/test/hello?len=80          true                                    10                                 

6              coap://[2a07:2e40:fffe:e1::b585]:5683/sensors/light              true                                    10                                 

7              coap://[2a07:2e40:fffe:e1::9083]:5683/sensors/pressure           true                                    10                                 

8              coap://[2a07:2e40:fffe:e1::a984]:5683/sensors/accel              true                                    10                                 

9              coap://[2a07:2e40:fffe:e1::a587]:5683/sensors/magne              true                                    10                                 

10             coap://[2a07:2e40:fffe:e1::b685]:5683/test/hello?len=80          true                                    10                                 

11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           true                                    10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              true                                    10                                 

15             coap://[2a07:2e40:fffe:e1::9387]:5683/sensors/magne              true                                    10                                 

16             coap://[2a07:2e40:fffe:e1::b384]:5683/test/hello?len=80          true                                    10                                 

*********** true = 170 *********** Relatório Gerado em : 04/03/2025 06:12:36.431 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e1::9588]:5683/sensors/light              true                                    10                                 

1              coap://[2a07:2e40:fffe:e1::8984]:5683/sensors/pressure           true                                    10                                 

2              coap://[2a07:2e40:fffe:e1::a385]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e1::a185]:5683/sensors/accel              true                                    10                                 

4              coap://[2a07:2e40:fffe:e1::9385]:5683/sensors/magne              true                                    10                                 

5              coap://[2a07:2e40:fffe:e1::a586]:5683/test/hello?len=80          true                                    10                                 

6              coap://[2a07:2e40:fffe:e1::b585]:5683/sensors/light              true                                    10                                 

7              coap://[2a07:2e40:fffe:e1::9083]:5683/sensors/pressure           false                                   10                                 

8              coap://[2a07:2e40:fffe:e1::a984]:5683/sensors/accel              true                                    10                                 

9              coap://[2a07:2e40:fffe:e1::a587]:5683/sensors/magne              true                                    10                                 

10             coap://[2a07:2e40:fffe:e1::b685]:5683/test/hello?len=80          true                                    10                                 

11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           false                                   10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              true                                    10                                 

15             coap://[2a07:2e40:fffe:e1::9387]:5683/sensors/magne              false                                   10                                 

16             coap://[2a07:2e40:fffe:e1::b384]:5683/test/hello?len=80          true                                    10                                 

*********** true = 140 *********** Relatório Gerado em : 04/03/2025 06:42:36.430 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e1::9588]:5683/sensors/light              true                                    10                                 

1              coap://[2a07:2e40:fffe:e1::8984]:5683/sensors/pressure           true                                    10                                 

2              coap://[2a07:2e40:fffe:e1::a385]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e1::a185]:5683/sensors/accel              false                                   10                                 

4              coap://[2a07:2e40:fffe:e1::9385]:5683/sensors/magne              true                                    10                                 

5              coap://[2a07:2e40:fffe:e1::a586]:5683/test/hello?len=80          true                                    10                                 

6              coap://[2a07:2e40:fffe:e1::b585]:5683/sensors/light              true                                    10                                 

7              coap://[2a07:2e40:fffe:e1::9083]:5683/sensors/pressure           true                                    10                                 

8              coap://[2a07:2e40:fffe:e1::a984]:5683/sensors/accel              true                                    10                                 

9              coap://[2a07:2e40:fffe:e1::a587]:5683/sensors/magne              true                                    10                                 

10             coap://[2a07:2e40:fffe:e1::b685]:5683/test/hello?len=80          true                                    10                                 

11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           true                                    10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              false                                   10                                 

15             coap://[2a07:2e40:fffe:e1::9387]:5683/sensors/magne              true                                    10                                 

16             coap://[2a07:2e40:fffe:e1::b384]:5683/test/hello?len=80          true                                    10                                 

*********** true = 150 *********** Relatório Gerado em : 04/03/2025 07:12:36.431 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e1::9588]:5683/sensors/light              true                                    10                                 

1              coap://[2a07:2e40:fffe:e1::8984]:5683/sensors/pressure           true                                    10                                 

2              coap://[2a07:2e40:fffe:e1::a385]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e1::a185]:5683/sensors/accel              true                                    10                                 

4              coap://[2a07:2e40:fffe:e1::9385]:5683/sensors/magne              true                                    10                                 

5              coap://[2a07:2e40:fffe:e1::a586]:5683/test/hello?len=80          true                                    10                                 

6              coap://[2a07:2e40:fffe:e1::b585]:5683/sensors/light              true                                    10                                 

7              coap://[2a07:2e40:fffe:e1::9083]:5683/sensors/pressure           true                                    10                                 

8              coap://[2a07:2e40:fffe:e1::a984]:5683/sensors/accel              true                                    10                                 

9              coap://[2a07:2e40:fffe:e1::a587]:5683/sensors/magne              true                                    10                                 

10             coap://[2a07:2e40:fffe:e1::b685]:5683/test/hello?len=80          true                                    10                                 

11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           true                                    10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              true                                    10                                 

15             coap://[2a07:2e40:fffe:e1::9387]:5683/sensors/magne              true                                    10                                 

16             coap://[2a07:2e40:fffe:e1::b384]:5683/test/hello?len=80          true                                    10                                 

*********** true = 170 *********** Relatório Gerado em : 04/03/2025 07:42:36.431 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e1::9588]:5683/sensors/light              true                                    10                                 

1              coap://[2a07:2e40:fffe:e1::8984]:5683/sensors/pressure           true                                    10                                 

2              coap://[2a07:2e40:fffe:e1::a385]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e1::a185]:5683/sensors/accel              true                                    10                                 

4              coap://[2a07:2e40:fffe:e1::9385]:5683/sensors/magne              true                                    10                                 

5              coap://[2a07:2e40:fffe:e1::a586]:5683/test/hello?len=80          true                                    10                                 

6              coap://[2a07:2e40:fffe:e1::b585]:5683/sensors/light              true                                    10                                 

7              coap://[2a07:2e40:fffe:e1::9083]:5683/sensors/pressure           true                                    10                                 

8              coap://[2a07:2e40:fffe:e1::a984]:5683/sensors/accel              true                                    10                                 

9              coap://[2a07:2e40:fffe:e1::a587]:5683/sensors/magne              true                                    10                                 

10             coap://[2a07:2e40:fffe:e1::b685]:5683/test/hello?len=80          false                                   10                                 

11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           true                                    10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              false                                   10                                 

15             coap://[2a07:2e40:fffe:e1::9387]:5683/sensors/magne              true                                    10                                 

16             coap://[2a07:2e40:fffe:e1::b384]:5683/test/hello?len=80          true                                    10                                 

*********** true = 150 *********** Relatório Gerado em : 04/03/2025 08:12:36.432 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e1::9588]:5683/sensors/light              true                                    10                                 

1              coap://[2a07:2e40:fffe:e1::8984]:5683/sensors/pressure           false                                   10                                 

2              coap://[2a07:2e40:fffe:e1::a385]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e1::a185]:5683/sensors/accel              true                                    10                                 

4              coap://[2a07:2e40:fffe:e1::9385]:5683/sensors/magne              true                                    10                                 

5              coap://[2a07:2e40:fffe:e1::a586]:5683/test/hello?len=80          true                                    10                                 

6              coap://[2a07:2e40:fffe:e1::b585]:5683/sensors/light              true                                    10                                 

7              coap://[2a07:2e40:fffe:e1::9083]:5683/sensors/pressure           true                                    10                                 

8              coap://[2a07:2e40:fffe:e1::a984]:5683/sensors/accel              true                                    10                                 

9              coap://[2a07:2e40:fffe:e1::a587]:5683/sensors/magne              true                                    10                                 

10             coap://[2a07:2e40:fffe:e1::b685]:5683/test/hello?len=80          false                                   10                                 

11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           false                                   10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              true                                    10                                 

15             coap://[2a07:2e40:fffe:e1::9387]:5683/sensors/magne              true                                    10                                 

16             coap://[2a07:2e40:fffe:e1::b384]:5683/test/hello?len=80          true                                    10                                 

*********** true = 140 *********** Relatório Gerado em : 04/03/2025 08:42:36.430 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e1::9588]:5683/sensors/light              true                                    10                                 

1              coap://[2a07:2e40:fffe:e1::8984]:5683/sensors/pressure           true                                    10                                 

2              coap://[2a07:2e40:fffe:e1::a385]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e1::a185]:5683/sensors/accel              false                                   10                                 

4              coap://[2a07:2e40:fffe:e1::9385]:5683/sensors/magne              true                                    10                                 

5              coap://[2a07:2e40:fffe:e1::a586]:5683/test/hello?len=80          true                                    10                                 

6              coap://[2a07:2e40:fffe:e1::b585]:5683/sensors/light              true                                    10                                 

7              coap://[2a07:2e40:fffe:e1::9083]:5683/sensors/pressure           true                                    10                                 

8              coap://[2a07:2e40:fffe:e1::a984]:5683/sensors/accel              true                                    10                                 

9              coap://[2a07:2e40:fffe:e1::a587]:5683/sensors/magne              true                                    10                                 

10             coap://[2a07:2e40:fffe:e1::b685]:5683/test/hello?len=80          true                                    10                                 

11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           true                                    10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              false                                   10                                 

15             coap://[2a07:2e40:fffe:e1::9387]:5683/sensors/magne              true                                    10                                 

16             coap://[2a07:2e40:fffe:e1::b384]:5683/test/hello?len=80          true                                    10                                 

*********** true = 150 *********** Relatório Gerado em : 04/03/2025 09:12:36.430 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2a07:2e40:fffe:e1::9588]:5683/sensors/light              true                                    10                                 

1              coap://[2a07:2e40:fffe:e1::8984]:5683/sensors/pressure           true                                    10                                 

2              coap://[2a07:2e40:fffe:e1::a385]:5683/sensors/gyros              true                                    10                                 

3              coap://[2a07:2e40:fffe:e1::a185]:5683/sensors/accel              true                                    10                                 

4              coap://[2a07:2e40:fffe:e1::9385]:5683/sensors/magne              true                                    10                                 

5              coap://[2a07:2e40:fffe:e1::a586]:5683/test/hello?len=80          false                                   10                                 

6              coap://[2a07:2e40:fffe:e1::b585]:5683/sensors/light              false                                   10                                 

7              coap://[2a07:2e40:fffe:e1::9083]:5683/sensors/pressure           false                                   10                                 

8              coap://[2a07:2e40:fffe:e1::a984]:5683/sensors/accel              true                                    10                                 

9              coap://[2a07:2e40:fffe:e1::a587]:5683/sensors/magne              true                                    10                                 

10             coap://[2a07:2e40:fffe:e1::b685]:5683/test/hello?len=80          true                                    10                                 

11             coap://[2a07:2e40:fffe:e1::b786]:5683/sensors/light              true                                    10                                 

12             coap://[2a07:2e40:fffe:e1::b187]:5683/sensors/pressure           false                                   10                                 

13             coap://[2a07:2e40:fffe:e1::a187]:5683/sensors/gyros              true                                    10                                 

14             coap://[2a07:2e40:fffe:e1::a488]:5683/sensors/accel              true                                    10                                 

