Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             true                                    10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             false                                   10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         true                                    10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             true                                    10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             true                                    10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             true                                    10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         true                                    10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          true                                    10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             true                                    10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             true                                    10                                 

*********** true = 150 *********** Relatório Gerado em : 04/03/2025 04:12:28.230 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             true                                    10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             true                                    10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         true                                    10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             true                                    10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             true                                    10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             true                                    10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         true                                    10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          true                                    10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             true                                    10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             true                                    10                                 

*********** true = 160 *********** Relatório Gerado em : 04/03/2025 04:42:28.226 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             true                                    10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             true                                    10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         true                                    10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             true                                    10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             true                                    10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             true                                    10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         false                                   10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          true                                    10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             true                                    10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             true                                    10                                 

*********** true = 150 *********** Relatório Gerado em : 04/03/2025 05:12:28.235 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             true                                    10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             false                                   10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         false                                   10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             true                                    10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             true                                    10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             false                                   10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         true                                    10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          true                                    10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             true                                    10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             true                                    10                                 

*********** true = 130 *********** Relatório Gerado em : 04/03/2025 05:42:28.226 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             true                                    10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             true                                    10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         false                                   10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             true                                    10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             true                                    10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             false                                   10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         false                                   10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          true                                    10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             true                                    10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             true                                    10                                 

*********** true = 130 *********** Relatório Gerado em : 04/03/2025 06:12:28.228 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             false                                   10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             true                                    10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         true                                    10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             true                                    10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             true                                    10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             true                                    10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         true                                    10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          false                                   10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             true                                    10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             true                                    10                                 

*********** true = 140 *********** Relatório Gerado em : 04/03/2025 06:42:28.228 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             false                                   10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             true                                    10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         true                                    10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             false                                   10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             true                                    10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             false                                   10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         true                                    10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          true                                    10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             false                                   10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             false                                   10                                 

*********** true = 110 *********** Relatório Gerado em : 04/03/2025 07:12:28.227 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             true                                    10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             true                                    10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         true                                    10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             true                                    10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             true                                    10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             true                                    10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         true                                    10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          true                                    10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             false                                   10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             true                                    10                                 

*********** true = 150 *********** Relatório Gerado em : 04/03/2025 07:42:28.228 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             true                                    10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             true                                    10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         true                                    10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             true                                    10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             false                                   10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             true                                    10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         true                                    10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          true                                    10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             true                                    10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             false                                   10                                 

*********** true = 140 *********** Relatório Gerado em : 04/03/2025 08:12:28.226 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             true                                    10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             true                                    10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         true                                    10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             true                                    10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             true                                    10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             true                                    10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         true                                    10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          true                                    10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             true                                    10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             true                                    10                                 

*********** true = 160 *********** Relatório Gerado em : 04/03/2025 08:42:28.227 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             false                                   10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             true                                    10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         true                                    10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             true                                    10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             false                                   10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             true                                    10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         true                                    10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          false                                   10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             true                                    10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             true                                    10                                 

*********** true = 130 *********** Relatório Gerado em : 04/03/2025 09:12:28.228 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             true                                    10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             true                                    10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         true                                    10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             true                                    10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             true                                    10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             true                                    10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         true                                    10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          true                                    10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             true                                    10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             true                                    10                                 

*********** true = 160 *********** Relatório Gerado em : 04/03/2025 09:42:28.228 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             true                                    10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             true                                    10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         true                                    10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             false                                   10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          true                                    10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             true                                    10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             false                                   10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         false                                   10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             true                                    10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          true                                    10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             true                                    10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             true                                    10                                 

*********** true = 130 *********** Relatório Gerado em : 04/03/2025 10:12:28.225 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

1              coap://[2001:660:5307:3110::b269]:5683/sensors/pressure          true                                    10                                 

2              coap://[2001:660:5307:3110::9672]:5683/sensors/gyros             true                                    10                                 

3              coap://[2001:660:5307:3110::a879]:5683/sensors/accel             true                                    10                                 

4              coap://[2001:660:5307:3110::8471]:5683/sensors/magne             true                                    10                                 

5              coap://[2001:660:5307:3110::a468]:5683/test/hello?len=80         false                                   10                                 

6              coap://[2001:660:5307:3110::9376]:5683/sensors/light             true                                    10                                 

7              coap://[2001:660:5307:3110::8572]:5683/sensors/pressure          false                                   10                                 

8              coap://[2001:660:5307:3110::9172]:5683/sensors/gyros             true                                    10                                 

9              coap://[2001:660:5307:3110::b069]:5683/sensors/accel             true                                    10                                 

10             coap://[2001:660:5307:3110::2262]:5683/sensors/magne             true                                    10                                 

11             coap://[2001:660:5307:3110::b080]:5683/test/hello?len=80         false                                   10                                 

12             coap://[2001:660:5307:3110::c276]:5683/sensors/light             false                                   10                                 

13             coap://[2001:660:5307:3110::a180]:5683/sensors/pressure          true                                    10                                 

14             coap://[2001:660:5307:3110::b277]:5683/sensors/gyros             true                                    10                                 

15             coap://[2001:660:5307:3110::8969]:5683/sensors/accel             true                                    10                                 

*********** true = 120 *********** Relatório Gerado em : 04/03/2025 10:42:28.229 *********** FIM DO RELATÓRIO ************** 

Relatorio Dispositivos

ID                                    URL                                   NÓ RESPONDEU                          Fator de Impacto                      
0              coap://[2001:660:5307:3110::a578]:5683/sensors/light             true                                    10                                 

